"Severity","ThreadID","Date","Time","Application","Message"
"ERROR","web-0","08/04/2014","12:01:37","client storage","access denied to execute ""Delete"" SQL statement for datasource myBlogInsert
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:116):116
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:104):104
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:200):200
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:183):183
	at railo.runtime.type.scope.storage.db.Ansi92.clean(Ansi92.java:155):155
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner.clean(DatasourceStorageScopeCleaner.java:56):56
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner._clean(DatasourceStorageScopeCleaner.java:39):39
	at railo.runtime.type.scope.storage.clean.StorageScopeCleanerSupport.clean(StorageScopeCleanerSupport.java:43):43
	at railo.runtime.type.scope.storage.StorageScopeEngine.clean(StorageScopeEngine.java:26):26
	at railo.runtime.type.scope.ScopeContext.clearUnused(ScopeContext.java:713):713
	at railo.runtime.engine.Controler.run(Controler.java:148):148
	at railo.runtime.engine.Controler.run(Controler.java:96):96
"
"ERROR","web-0","08/04/2014","13:01:38","scope-context","access denied to execute ""Delete"" SQL statement for datasource myBlogInsert
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:116):116
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:104):104
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:200):200
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:183):183
	at railo.runtime.type.scope.storage.db.Ansi92.clean(Ansi92.java:155):155
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner.clean(DatasourceStorageScopeCleaner.java:56):56
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner._clean(DatasourceStorageScopeCleaner.java:39):39
	at railo.runtime.type.scope.storage.clean.StorageScopeCleanerSupport.clean(StorageScopeCleanerSupport.java:43):43
	at railo.runtime.type.scope.storage.StorageScopeEngine.clean(StorageScopeEngine.java:26):26
	at railo.runtime.type.scope.ScopeContext.clearUnused(ScopeContext.java:713):713
	at railo.runtime.engine.Controler.run(Controler.java:148):148
	at railo.runtime.engine.Controler.run(Controler.java:96):96
"
"ERROR","web-0","08/04/2014","13:01:38","client storage","access denied to execute ""Delete"" SQL statement for datasource myBlogInsert
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:116):116
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:104):104
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:200):200
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:183):183
	at railo.runtime.type.scope.storage.db.Ansi92.clean(Ansi92.java:155):155
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner.clean(DatasourceStorageScopeCleaner.java:56):56
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner._clean(DatasourceStorageScopeCleaner.java:39):39
	at railo.runtime.type.scope.storage.clean.StorageScopeCleanerSupport.clean(StorageScopeCleanerSupport.java:43):43
	at railo.runtime.type.scope.storage.StorageScopeEngine.clean(StorageScopeEngine.java:26):26
	at railo.runtime.type.scope.ScopeContext.clearUnused(ScopeContext.java:713):713
	at railo.runtime.engine.Controler.run(Controler.java:148):148
	at railo.runtime.engine.Controler.run(Controler.java:96):96
"
"ERROR","web-0","08/04/2014","19:47:49","scope-context","access denied to execute ""Delete"" SQL statement for datasource myBlogInsert
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:116):116
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:104):104
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:200):200
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:183):183
	at railo.runtime.type.scope.storage.db.Ansi92.clean(Ansi92.java:155):155
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner.clean(DatasourceStorageScopeCleaner.java:56):56
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner._clean(DatasourceStorageScopeCleaner.java:39):39
	at railo.runtime.type.scope.storage.clean.StorageScopeCleanerSupport.clean(StorageScopeCleanerSupport.java:43):43
	at railo.runtime.type.scope.storage.StorageScopeEngine.clean(StorageScopeEngine.java:26):26
	at railo.runtime.type.scope.ScopeContext.clearUnused(ScopeContext.java:713):713
	at railo.runtime.engine.Controler.run(Controler.java:148):148
	at railo.runtime.engine.Controler.run(Controler.java:96):96
"
"ERROR","web-0","08/04/2014","19:47:49","client storage","access denied to execute ""Delete"" SQL statement for datasource myBlogInsert
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:116):116
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:104):104
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:200):200
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:183):183
	at railo.runtime.type.scope.storage.db.Ansi92.clean(Ansi92.java:155):155
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner.clean(DatasourceStorageScopeCleaner.java:56):56
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner._clean(DatasourceStorageScopeCleaner.java:39):39
	at railo.runtime.type.scope.storage.clean.StorageScopeCleanerSupport.clean(StorageScopeCleanerSupport.java:43):43
	at railo.runtime.type.scope.storage.StorageScopeEngine.clean(StorageScopeEngine.java:26):26
	at railo.runtime.type.scope.ScopeContext.clearUnused(ScopeContext.java:713):713
	at railo.runtime.engine.Controler.run(Controler.java:148):148
	at railo.runtime.engine.Controler.run(Controler.java:96):96
"
"ERROR","web-0","08/04/2014","20:46:34","scope-context","access denied to execute ""Delete"" SQL statement for datasource myBlogInsert
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:116):116
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:104):104
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:200):200
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:183):183
	at railo.runtime.type.scope.storage.db.Ansi92.clean(Ansi92.java:155):155
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner.clean(DatasourceStorageScopeCleaner.java:56):56
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner._clean(DatasourceStorageScopeCleaner.java:39):39
	at railo.runtime.type.scope.storage.clean.StorageScopeCleanerSupport.clean(StorageScopeCleanerSupport.java:43):43
	at railo.runtime.type.scope.storage.StorageScopeEngine.clean(StorageScopeEngine.java:26):26
	at railo.runtime.type.scope.ScopeContext.clearUnused(ScopeContext.java:713):713
	at railo.runtime.engine.Controler.run(Controler.java:148):148
	at railo.runtime.engine.Controler.run(Controler.java:96):96
"
"ERROR","web-0","08/04/2014","20:46:34","client storage","access denied to execute ""Delete"" SQL statement for datasource myBlogInsert
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:116):116
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:104):104
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:200):200
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:183):183
	at railo.runtime.type.scope.storage.db.Ansi92.clean(Ansi92.java:155):155
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner.clean(DatasourceStorageScopeCleaner.java:56):56
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner._clean(DatasourceStorageScopeCleaner.java:39):39
	at railo.runtime.type.scope.storage.clean.StorageScopeCleanerSupport.clean(StorageScopeCleanerSupport.java:43):43
	at railo.runtime.type.scope.storage.StorageScopeEngine.clean(StorageScopeEngine.java:26):26
	at railo.runtime.type.scope.ScopeContext.clearUnused(ScopeContext.java:713):713
	at railo.runtime.engine.Controler.run(Controler.java:148):148
	at railo.runtime.engine.Controler.run(Controler.java:96):96
"
"ERROR","web-0","08/04/2014","21:46:36","scope-context","access denied to execute ""Delete"" SQL statement for datasource myBlogInsert
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:116):116
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:104):104
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:200):200
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:183):183
	at railo.runtime.type.scope.storage.db.Ansi92.clean(Ansi92.java:155):155
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner.clean(DatasourceStorageScopeCleaner.java:56):56
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner._clean(DatasourceStorageScopeCleaner.java:39):39
	at railo.runtime.type.scope.storage.clean.StorageScopeCleanerSupport.clean(StorageScopeCleanerSupport.java:43):43
	at railo.runtime.type.scope.storage.StorageScopeEngine.clean(StorageScopeEngine.java:26):26
	at railo.runtime.type.scope.ScopeContext.clearUnused(ScopeContext.java:713):713
	at railo.runtime.engine.Controler.run(Controler.java:148):148
	at railo.runtime.engine.Controler.run(Controler.java:96):96
"
"ERROR","web-0","08/04/2014","21:46:36","client storage","access denied to execute ""Delete"" SQL statement for datasource myBlogInsert
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:116):116
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:104):104
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:200):200
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:183):183
	at railo.runtime.type.scope.storage.db.Ansi92.clean(Ansi92.java:155):155
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner.clean(DatasourceStorageScopeCleaner.java:56):56
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner._clean(DatasourceStorageScopeCleaner.java:39):39
	at railo.runtime.type.scope.storage.clean.StorageScopeCleanerSupport.clean(StorageScopeCleanerSupport.java:43):43
	at railo.runtime.type.scope.storage.StorageScopeEngine.clean(StorageScopeEngine.java:26):26
	at railo.runtime.type.scope.ScopeContext.clearUnused(ScopeContext.java:713):713
	at railo.runtime.engine.Controler.run(Controler.java:148):148
	at railo.runtime.engine.Controler.run(Controler.java:96):96
"
"ERROR","web-0","08/05/2014","08:12:54","scope-context","access denied to execute ""Delete"" SQL statement for datasource myBlogInsert
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:116):116
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:104):104
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:200):200
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:183):183
	at railo.runtime.type.scope.storage.db.Ansi92.clean(Ansi92.java:155):155
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner.clean(DatasourceStorageScopeCleaner.java:56):56
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner._clean(DatasourceStorageScopeCleaner.java:39):39
	at railo.runtime.type.scope.storage.clean.StorageScopeCleanerSupport.clean(StorageScopeCleanerSupport.java:43):43
	at railo.runtime.type.scope.storage.StorageScopeEngine.clean(StorageScopeEngine.java:26):26
	at railo.runtime.type.scope.ScopeContext.clearUnused(ScopeContext.java:713):713
	at railo.runtime.engine.Controler.run(Controler.java:148):148
	at railo.runtime.engine.Controler.run(Controler.java:96):96
"
"ERROR","web-0","08/05/2014","08:12:54","client storage","access denied to execute ""Delete"" SQL statement for datasource myBlogInsert
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:116):116
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:104):104
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:200):200
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:183):183
	at railo.runtime.type.scope.storage.db.Ansi92.clean(Ansi92.java:155):155
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner.clean(DatasourceStorageScopeCleaner.java:56):56
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner._clean(DatasourceStorageScopeCleaner.java:39):39
	at railo.runtime.type.scope.storage.clean.StorageScopeCleanerSupport.clean(StorageScopeCleanerSupport.java:43):43
	at railo.runtime.type.scope.storage.StorageScopeEngine.clean(StorageScopeEngine.java:26):26
	at railo.runtime.type.scope.ScopeContext.clearUnused(ScopeContext.java:713):713
	at railo.runtime.engine.Controler.run(Controler.java:148):148
	at railo.runtime.engine.Controler.run(Controler.java:96):96
"
"ERROR","web-0","08/06/2014","08:18:07","scope-context","access denied to execute ""Delete"" SQL statement for datasource myBlogInsert
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:116):116
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:104):104
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:200):200
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:183):183
	at railo.runtime.type.scope.storage.db.Ansi92.clean(Ansi92.java:155):155
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner.clean(DatasourceStorageScopeCleaner.java:56):56
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner._clean(DatasourceStorageScopeCleaner.java:39):39
	at railo.runtime.type.scope.storage.clean.StorageScopeCleanerSupport.clean(StorageScopeCleanerSupport.java:43):43
	at railo.runtime.type.scope.storage.StorageScopeEngine.clean(StorageScopeEngine.java:26):26
	at railo.runtime.type.scope.ScopeContext.clearUnused(ScopeContext.java:713):713
	at railo.runtime.engine.Controler.run(Controler.java:148):148
	at railo.runtime.engine.Controler.run(Controler.java:96):96
"
"ERROR","web-0","08/06/2014","08:18:07","client storage","access denied to execute ""Delete"" SQL statement for datasource myBlogInsert
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:116):116
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:104):104
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:200):200
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:183):183
	at railo.runtime.type.scope.storage.db.Ansi92.clean(Ansi92.java:155):155
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner.clean(DatasourceStorageScopeCleaner.java:56):56
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner._clean(DatasourceStorageScopeCleaner.java:39):39
	at railo.runtime.type.scope.storage.clean.StorageScopeCleanerSupport.clean(StorageScopeCleanerSupport.java:43):43
	at railo.runtime.type.scope.storage.StorageScopeEngine.clean(StorageScopeEngine.java:26):26
	at railo.runtime.type.scope.ScopeContext.clearUnused(ScopeContext.java:713):713
	at railo.runtime.engine.Controler.run(Controler.java:148):148
	at railo.runtime.engine.Controler.run(Controler.java:96):96
"
"ERROR","web-0","08/07/2014","08:44:00","scope-context","access denied to execute ""Delete"" SQL statement for datasource myBlogInsert
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:116):116
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:104):104
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:200):200
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:183):183
	at railo.runtime.type.scope.storage.db.Ansi92.clean(Ansi92.java:155):155
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner.clean(DatasourceStorageScopeCleaner.java:56):56
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner._clean(DatasourceStorageScopeCleaner.java:39):39
	at railo.runtime.type.scope.storage.clean.StorageScopeCleanerSupport.clean(StorageScopeCleanerSupport.java:43):43
	at railo.runtime.type.scope.storage.StorageScopeEngine.clean(StorageScopeEngine.java:26):26
	at railo.runtime.type.scope.ScopeContext.clearUnused(ScopeContext.java:713):713
	at railo.runtime.engine.Controler.run(Controler.java:148):148
	at railo.runtime.engine.Controler.run(Controler.java:96):96
"
"ERROR","web-0","08/07/2014","08:44:00","client storage","access denied to execute ""Delete"" SQL statement for datasource myBlogInsert
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:116):116
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:104):104
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:200):200
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:183):183
	at railo.runtime.type.scope.storage.db.Ansi92.clean(Ansi92.java:155):155
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner.clean(DatasourceStorageScopeCleaner.java:56):56
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner._clean(DatasourceStorageScopeCleaner.java:39):39
	at railo.runtime.type.scope.storage.clean.StorageScopeCleanerSupport.clean(StorageScopeCleanerSupport.java:43):43
	at railo.runtime.type.scope.storage.StorageScopeEngine.clean(StorageScopeEngine.java:26):26
	at railo.runtime.type.scope.ScopeContext.clearUnused(ScopeContext.java:713):713
	at railo.runtime.engine.Controler.run(Controler.java:148):148
	at railo.runtime.engine.Controler.run(Controler.java:96):96
"
